 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"4,630,993","4,863,648","9,494,642",,,,,,,,,,,,,,,,,,,,
SO ,EMPRESA,MES,FECHA HABILITACIÓN,FECHA LIBERACIÓN,INSTALADA,PREVENTA,VENDEDOR COMERCIAL/EAC,EAC ASIGNADO,RAZON SOCIAL,OPORTUNIDAD,TAREA HABILITACIÓN,MONTO RECURRENTE,MONTO NO RECURRENTE,MONTO TOTAL,CLIENTE EXISTENTE EN BASE ACTUAL,CLIENTE NUEVO,SITIO NUEVO,CATEGORÍA PRODUCTO,SUB PRODUCTO,VELOCIDAD,ON/OFF,RB/WISP,PLAZO,SEGMENTO,CANAL DE VENTA,TIPO DE OPERACIÓN,VENTA RECURRENTE,VTC,CONTRATO FIRMADO,FACTURA,FECHA ELABORACIÓN,ESTATUS FACTURA,FECHA DE PAGO FACTURA,OBSERVACIONES
SO55933,MANUFACTURA,ENERO,5/1/2026,15/1/2026,SI,CECILIA NUÑEZ,ALEJANDRO GUZMAN,CARLOS ALONSO,INDUSTRIAS LANCERMEX,"Sandur, SIDP-1G, INDUSTRIAS LANCERMEX, SITIO PIEDRAS NEGRAS","[SO55933] Sandur, SIDP-1G, INDUSTRIAS LANCERMEX","18,882",,"18,882",NO,SÍ,SÍ,DEDICADO,DEDICADO,1000,ON,Piedras Negras,36,EMPRESARIAL,OTRO,PRIMERA VENTA,SÍ,"679,752.00",SÍ,2676808,,PAGADA,13/3/2026,
SO56036,XCIEN,ENERO,7/1/2026,4/2/2026,SI,EDWIN GARZA,ALEJANDRA TELLEZ,CARLOS ALONSO,JUMBOCEL,"Sandur, SIDP-50, JUMBOCEL, APODACA","[SO56036] Sandur, SIDP-50, JUMBOCEL","7,100",,"7,100",NO,SÍ,SÍ,DEDICADO,DEDICADO,50,ON,Sta. Rosa,36,EMPRESARIAL,DISTRIBUIDOR,PRIMERA VENTA,SÍ,"255,600.00",SÍ,2678362,,PAGADA,26/2/2026,
SO56048,XCIEN,ENERO,13/1/2026,20/1/2026,SI,KEVIN TORRES,ALEJANDRA TELLEZ,JONATHAN TORRES,INTERNACIONAL AGROINDUSTRIAL,"Sandur, SIMP-15, INTERNACIONAL AGROINDUSTRIAL, SANTA CATARINA","[SO56048] Sandur, SIMP-15, INTERNACIONAL AGROINDUSTRIAL","1,830",,"1,830",NO,SÍ,SÍ,PYME,PYME,15,ON,Sta. Catarina,24,EMPRESARIAL,DISTRIBUIDOR,PRIMERA VENTA,SÍ,"43,920.00",SÍ,2676799,,PAGADA,29/1/2026,
SO55884,XCIEN,ENERO,6/1/2026,11/2/2026,SI,EDWIN GARZA,JONATHAN TORRES,,IG NETWORKS MEXICO,"Sandur, SIDP-60, IG NETWORKS MEXICO, CQ2793526 - Q106518 - Ciudad Frontera - (Mexico)",,"-1,920",,"-1,920",SÍ,NO,NO,DEDICADO,DEDICADO,60,ON,Monclova,12,EMPRESARIAL,EAC,DECREMENTO,NO,"-23,040.00",SÍ,2677400,,PAGADA,11/2/2026,
SO53278,HUUS,ENERO,15/1/2026,12/2/2026,SI,NANCY FUENTES,ADRIANA CABALLERO,FRANCISCO VILLATORO,HYUNDAI GLOVIS MÉXICO,"HUUS, SIS-50-10-ilimitado, HYUNDAI GLOVIS MÉXICO, SITIO: LÁZARO CÁRDENAS,MICH","[SO53278] HUUS, SIS-50-10-ilimitado, HYUNDAI GLOVIS MÉXICO","4,200",,"4,200",NO,SÍ,SÍ,SATELITAL,DEDICADO,50,OFF,Starlink,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"151,200.00",SÍ,2617194,,PENDIENTE PAGO,,
SO53284,HUUS,ENERO,15/1/2026,12/2/2026,SI,NANCY FUENTES,ADRIANA CABALLERO,FRANCISCO VILLATORO,HYUNDAI GLOVIS MÉXICO,"HUUS, SDWAN Plus - 100, HYUNDAI GLOVIS MÉXICO, SITIO: LÁZARO CÁRDENAS,MICH","[SO53284] HUUS, SDWAN Plus - 100, HYUNDAI GLOVIS MÉXICO","3,500",,"3,500",NO,SÍ,NO,SERVICIOS ADMINISTRADOS,ALTA DISPONIBILIDAD,,N/A,,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"126,000.00",SÍ,2617193,,PENDIENTE PAGO,,
SO56055,XCIEN,ENERO,7/1/2026,12/1/2026,SI,SERGIO ABREGO,DANIEL GONZÁLEZ,,COMERCIALIZADORA CHARLES,"Sandur, SIDP-100, COMERCIALIZADORA CHARLES, SITIO MATRIZ.",,"-3,000",,"-3,000",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,,,EMPRESARIAL,EAC,DECREMENTO,NO,0.00,SÍ,2676756,,PAGADA,12/1/2026,
SO55977,HUUS,ENERO,15/1/2026,19/1/2025,SI,EDWIN GARZA,GERARDO DE LA PUENTE,FRANCISCO VILLATORO,BIG BLUE REPAIR MX,"HUUS, SIDP-20, BIG BLUE REPAIR MX, SITIO: QUERÉTARO","[SO55977] HUUS, SIDP-20, BIG BLUE REPAIR MX","3,199",,"3,199",NO,SÍ,SÍ,DEDICADO,DEDICADO,20,ON,Induistrial Queretaro,36,EMPRESARIAL,DISTRIBUIDOR,PRIMERA VENTA,SÍ,"115,164.00",SÍ,2617165,,PAGADA,23/2/2026,
SO56084,XCIEN,ENERO,7/1/2026,8/1/2026,SI,KEVIN TORRES,LEONARDO RODRÍGUEZ,,AGROINSUMOS ORGANICOS DEL NORTE,"Sandur, S-REUB-EQ, AGROINSUMOS ORGANICOS DEL NORTE, SITIO: AGRINOR ABASOLO SALTILLO",,,990,990,SÍ,NO,NO,,,,ON,,,EMPRESARIAL,EAC,REUBICACIÓN,NO,0.00,NO,2680008,,PENDIENTE PAGO,,
